n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda,mean_directional_accuracy,mean_rmse,mean_r2,selection_score
50,2,0.01,0.6,0.6,1.0,2.0,0.5925925925925926,0.3228220827200743,-0.8870605784629002,0.5764514884565889
50,2,0.01,0.6,0.6,2.0,2.0,0.5925925925925926,0.32274626420341135,-0.8873977452419313,0.576455279382422
100,3,0.01,0.6,0.7,1.0,10.0,0.5925925925925926,0.3235131154034738,-0.8874857693683946,0.5764169368224189
50,3,0.01,0.7,0.6,0.5,5.0,0.5925925925925926,0.323051615229515,-0.8882750378924169,0.5764400118311168
50,3,0.03,0.6,0.7,1.0,10.0,0.5925925925925926,0.3236760896417372,-0.8884206768261477,0.5764087881105057
100,2,0.01,0.7,0.7,2.0,10.0,0.5925925925925926,0.323431094774637,-0.8899109873403153,0.5764210378538607
100,3,0.01,0.6,0.7,0.5,10.0,0.5925925925925926,0.32407638778490727,-0.8903343866770445,0.5763887732033472
50,2,0.01,0.7,0.7,2.0,2.0,0.5925925925925926,0.3227908243818056,-0.8904841835879965,0.5764530513735022
100,2,0.01,0.6,0.6,2.0,10.0,0.5925925925925926,0.3233037676541815,-0.8905144648183322,0.5764274042098835
50,2,0.03,0.6,0.7,1.0,10.0,0.5925925925925926,0.32266651863356743,-0.8907527606124658,0.5764592666609142
50,3,0.03,0.6,0.7,2.0,5.0,0.5925925925925926,0.3230192504122367,-0.8909073030898339,0.5764416300719807
50,3,0.01,0.7,0.6,2.0,2.0,0.5925925925925926,0.3232855669419854,-0.8910090675495869,0.5764283142454933
50,2,0.03,0.7,0.6,2.0,10.0,0.5925925925925926,0.3238214122638854,-0.893229786073976,0.5764015219793983
50,2,0.01,0.7,0.6,2.0,2.0,0.5925925925925926,0.3230203466460297,-0.8932807426721975,0.576441575260291
50,3,0.01,0.7,0.7,2.0,2.0,0.5925925925925926,0.32327457723938047,-0.8932890844958506,0.5764288637306235
100,3,0.01,0.6,0.6,0.5,10.0,0.5925925925925926,0.32432202990152,-0.8944627101885578,0.5763764910975165
100,2,0.01,0.6,0.7,0.5,10.0,0.5925925925925926,0.3237152761369679,-0.8947612175896426,0.5764068287857441
100,2,0.01,0.6,0.7,1.0,10.0,0.5925925925925926,0.3236972458561891,-0.8951000927033328,0.5764077302997831
50,3,0.03,0.6,0.6,1.0,10.0,0.5925925925925926,0.3244282963724858,-0.8959445445143408,0.5763711777739683
50,2,0.01,0.7,0.6,0.5,5.0,0.5925925925925926,0.323013370471198,-0.8979082230006264,0.5764419240690326
50,3,0.03,0.7,0.6,2.0,10.0,0.5925925925925926,0.3244748537751352,-0.8989684489152382,0.5763688499038357
50,2,0.01,0.6,0.7,0.5,2.0,0.5925925925925926,0.32298270345634955,-0.8994352234001298,0.5764434574197751
100,2,0.01,0.6,0.7,2.0,5.0,0.5925925925925926,0.32366842279658253,-0.9001265235457756,0.5764091714527634
50,3,0.01,0.6,0.7,0.5,2.0,0.5925925925925926,0.32380137454429353,-0.9004270631468396,0.5764025238653779
100,2,0.01,0.6,0.6,0.5,10.0,0.5925925925925926,0.32408049919898996,-0.9008740438265996,0.576388567632643
100,2,0.01,0.6,0.6,1.0,10.0,0.5925925925925926,0.32418789239058204,-0.9021149338027453,0.5763831979730635
50,3,0.03,0.7,0.7,2.0,10.0,0.5925925925925926,0.32426028744810304,-0.9022638314919362,0.5763795782201874
100,3,0.01,0.7,0.6,1.0,10.0,0.5925925925925926,0.3247744707093757,-0.9039926353564497,0.5763538690571238
50,2,0.03,0.7,0.7,2.0,10.0,0.5925925925925926,0.3242149319634626,-0.9047445873503163,0.5763818459944194
50,2,0.03,0.6,0.7,2.0,5.0,0.5925925925925926,0.3230965527366221,-0.9061037911412106,0.5764377649557615
50,3,0.01,0.7,0.7,0.5,5.0,0.5925925925925926,0.32378357507348765,-0.9084783802556188,0.5764034138389181
50,2,0.01,0.7,0.7,0.5,5.0,0.5925925925925926,0.32337664110963493,-0.9084911525479726,0.5764237605371109
50,3,0.01,0.6,0.6,0.5,2.0,0.5925925925925926,0.3245203251782781,-0.9088409082027903,0.5763665763336786
100,3,0.01,0.6,0.7,2.0,5.0,0.5925925925925926,0.3241830734752067,-0.9094152341987187,0.5763834389188323
100,3,0.01,0.6,0.6,2.0,5.0,0.5925925925925926,0.324256834820683,-0.9097270610299142,0.5763797508515585
50,3,0.03,0.6,0.6,2.0,5.0,0.5925925925925926,0.3246872294832028,-0.9112496666502614,0.5763582311184324
50,2,0.03,0.6,0.6,1.0,10.0,0.5925925925925926,0.32432905354405006,-0.9113844321802892,0.57637613991539
100,2,0.01,0.7,0.6,0.5,10.0,0.5925925925925926,0.3249107346525428,-0.914559128198484,0.5763470558599654
100,2,0.01,0.6,0.6,2.0,5.0,0.5925925925925926,0.32440258990984827,-0.9148462635887482,0.5763724630971001
100,3,0.01,0.6,0.6,0.5,5.0,0.5925925925925926,0.32524569434954814,-0.9150448444461823,0.5763303078751152
100,3,0.01,0.7,0.6,0.5,10.0,0.5925925925925926,0.3252860053488631,-0.9162782248455458,0.5763282923251494
100,2,0.01,0.7,0.6,1.0,10.0,0.5925925925925926,0.32511894033323263,-0.9171145499164491,0.5763366455759309
100,2,0.01,0.7,0.7,0.5,10.0,0.5925925925925926,0.3248368676352009,-0.9173987413766156,0.5763507492108325
100,3,0.01,0.7,0.7,2.0,5.0,0.5925925925925926,0.32472592530973965,-0.9184129341126714,0.5763562963271056
