date,us2y_yield,us10y_yield,yield_spread,us_cpi_yoy,high_yield_spread,vix_level,spx_vol_3m,eurusd_return,gbpusd_return,spx_return,ndx_return,gold_return,ecb_level,ecb_yoy,regime_confidence,regime_label,btc_target
2011-06-01,0.45,3.18,2.73,0.0350231815063604,5.42,16.52,0.0255793044764157,0.0067158489686916,-0.0251759826925504,-0.0184262333018975,-0.0202109650993174,-0.0230366194865896,2010.0,0.0004977600796416,0.9997246716827926,calm,-0.2221052066388516
2011-07-01,0.36,2.82,2.46,0.0357988097699961,5.58,25.25,0.0040823703277635,-0.0064380133066974,0.0237160396143299,-0.0217083674354272,0.0161014425958103,0.0795504756992845,2010.0,0.0004977600796416,0.9999895816299084,calm,-0.4281860741224073
2011-08-01,0.2,2.23,2.03,0.0375499603070808,7.3,31.62,0.0222310143075285,-0.0013899508805294,-0.0104642511629914,-0.0584674916191204,-0.0529249316063361,0.1163507672235968,2010.0,0.0004977600796416,0.9999981304964352,crisis,-0.6094475804851176
2011-09-01,0.25,1.92,1.67,0.0381262169281868,8.41,42.96,0.0270515197617048,-0.0713353345303613,-0.0420889959747021,-0.0744671275427831,-0.0465040790700702,-0.1169787145951551,2010.0,0.0004977600796416,0.9999999999999644,crisis,-0.3795250307029776
2011-10-01,0.25,2.17,1.92,0.0352226813066405,7.07,29.96,0.0977694925137379,0.0333462153903554,0.0302076680879495,0.1023065916505901,0.098272938735686,0.0516005453589012,2010.0,0.0004977600796416,1.0,crisis,-0.1731163486024547
2011-11-01,0.25,2.08,1.83,0.0345143221458172,7.79,27.8,0.0890643533517628,-0.0295443546105943,-0.0229837274511382,-0.0050714834366809,-0.0278755310830509,0.0228504721259074,2010.0,0.0004977600796416,0.9999999999948832,crisis,0.415282706532073
2011-12-01,0.25,1.89,1.64,0.0306206683841938,7.23,23.4,0.0584728796031649,-0.0363676441708748,-0.0096650030682037,0.0084965534941463,-0.0075967503104222,-0.1114741630709831,2011.0,0.000497512437811,0.9996752425938278,crisis,0.2760629832168505
2012-01-01,0.22,1.83,1.61,0.030087663379855,6.61,19.44,0.0245951453625002,0.0099808889976799,0.0138602800070475,0.0426599990111374,0.0801646111440359,0.1045274798271536,2011.0,0.000497512437811,0.7312733326715927,calm,-0.12033615093035
2012-02-01,0.3,1.98,1.68,0.0289817844234738,5.98,18.43,0.018949520706243,0.0177183404096247,0.0098466995168435,0.0397873313864179,0.0609689779245624,-0.0243319021667853,2011.0,0.000497512437811,0.9124017448027136,calm,-0.0123187866773187
2012-03-01,0.33,2.23,1.9,0.0258287528133209,5.99,15.5,0.0061581986950459,0.0013500339558904,0.0056994486164595,0.0308515357625713,0.0491586169894057,-0.0161668329752937,2011.0,0.000497512437811,0.96611538630142,calm,0.0197683729281327
2012-04-01,0.27,1.95,1.68,0.0227316337413485,6.04,17.15,0.0251369292885787,-0.0075233577846692,0.0139541474746501,-0.0075257447960486,-0.0115315343484766,-0.0027491178725576,2011.0,0.000497512437811,0.9886633953562788,calm,0.0459470820044265
2012-05-01,0.27,1.59,1.32,0.0173794293746607,6.96,24.06,0.0480825298701716,-0.0689281444731097,-0.052795217487919,-0.0646992501704692,-0.0757943308307207,-0.0651918971706918,2011.0,0.000497512437811,0.9358305955198174,credit_stress,0.2518833457199421
2012-06-01,0.33,1.67,1.34,0.0165387044829763,6.44,17.08,0.0518407500316455,0.0242978705491662,0.0192270334763262,0.0387926612438374,0.0353498179738971,0.0242434195260596,2011.0,0.000497512437811,0.8735376518023235,calm,0.3200914200473488
2012-07-01,0.23,1.51,1.28,0.0141751147984647,6.16,18.93,0.053795188699995,-0.029326675047433,-0.0018487239511449,0.0125189489727108,0.0101973973560374,0.0106695748753802,2011.0,0.000497512437811,0.7274513047954911,credit_stress,0.1693596244668822
2012-08-01,0.22,1.57,1.35,0.0168593491548212,5.98,17.47,0.013598537472771,0.0221150100797662,0.0121767105752552,0.0195706020043819,0.04791886608306,0.0469156032474321,2011.0,0.000497512437811,0.9999175892470118,calm,0.132916468513464
2012-09-01,0.23,1.65,1.42,0.0194971689828196,5.74,15.73,0.0057660041547842,0.0224145281084507,0.0178057370294351,0.0239470570502007,0.0096744319492913,0.0460047738610126,2011.0,0.000497512437811,0.9998165405515916,calm,-0.1226694367789936
2012-10-01,0.3,1.72,1.42,0.0215567805953693,5.63,18.6,0.0242015778177644,0.0076699969271787,-0.0011772361098124,-0.0199878360584996,-0.0555556634776655,-0.0295298400639162,2011.0,0.000497512437811,0.9934542237428672,calm,0.1340593575615516
2012-11-01,0.25,1.62,1.37,0.0179601970339262,5.65,15.87,0.0219730970099224,0.0021586624680378,-0.0076547655725569,0.0028426587376603,0.0112510105676064,-0.0030925067816065,2011.0,0.000497512437811,0.9998947199914368,calm,0.0772584831371316
2012-12-01,0.25,1.78,1.53,0.0175950497968955,5.34,18.02,0.0145462961231449,0.0161946859199806,0.0146974832594909,0.0070434471114575,-0.0063497509561216,-0.0224145281084508,2012.0,0.0004972650422674,0.9988295912483954,calm,0.3816395296960947
2013-01-01,0.27,2.02,1.75,0.0168406176209829,4.95,14.28,0.0256366542724401,0.0290503197344178,-0.0240495049738442,0.0491977606925783,0.0261862060202013,-0.0077969602548027,2012.0,0.0004972650422674,0.993753040771524,calm,0.4501699100956507
2013-02-01,0.25,1.89,1.64,0.0201814049025748,4.98,15.51,0.0232798821402911,-0.0390264143505516,-0.0445520897809473,0.0109998818881558,0.0025776461180861,-0.0519586167183367,2012.0,0.0004972650422674,0.9898203541038244,calm,1.0256495863480983
