date,us2y_yield,us10y_yield,yield_spread,us_cpi_yoy,high_yield_spread,vix_level,spx_vol_3m,eurusd_return,gbpusd_return,spx_return,ndx_return,gold_return,ecb_level,ecb_yoy,regime_confidence,regime_label,ndx_target
2005-10-01,4.4,4.57,0.1699999999999999,0.0435010482180293,3.61,15.32,0.0128559031663393,-0.0035822923300917,0.001925146396063,-0.0178999943137739,-0.0141348664380197,-0.0072191652710277,2004.0,0.000499251123315,0.9999993154169936,inflation_stress,0.0574496618396773
2005-11-01,4.42,4.49,0.0700000000000002,0.0333854981742305,3.67,12.06,0.0262533428366894,-0.0162386303517426,-0.0222504675161171,0.0345812376769886,0.0574496618396773,0.0606233571470605,2004.0,0.000499251123315,0.9999876637248556,inflation_stress,-0.016493429442104
2005-12-01,4.41,4.39,-0.0200000000000004,0.0333854981742305,3.71,12.07,0.0267835670988307,0.0048233645447831,-0.0034764505723698,-0.0009528500142413,-0.016493429442104,0.0441349950051834,2005.0,0.000499001996008,0.9999716865614914,inflation_stress,0.0390699134763381
2006-01-01,4.54,4.53,-0.0099999999999997,0.0401878914405011,3.42,12.95,0.0184070205818237,0.0250919678633602,0.031817620427179,0.0251479612305182,0.0390699134763381,0.098736495477843,2005.0,0.000499001996008,0.9999997177726015,inflation_stress,-0.0237729712908068
2006-02-01,4.69,4.55,-0.1400000000000005,0.0363825363825363,3.37,12.34,0.0146803164620476,-0.0181936482556963,-0.0141557202118432,0.000452994064152,-0.0237729712908068,-0.0155562620893827,2005.0,0.000499001996008,0.9999997266597208,inflation_stress,0.0196199784221671
2006-03-01,4.82,4.86,0.04,0.034179181771103,3.13,11.39,0.0123894969395704,0.0157208477869482,-0.0094537616458187,0.0110347339694589,0.0196199784221671,0.0343231030503331,2005.0,0.000499001996008,0.9999999644364646,inflation_stress,-0.0017330670510935
2006-04-01,4.87,5.07,0.2000000000000001,0.0361383582860093,3.04,11.59,0.0064331593911679,0.0416238517039555,0.049910726047036,0.0120823736751443,-0.0017330670510935,0.1123168118555414,2005.0,0.000499001996008,0.9999999814239342,inflation_stress,-0.0738868220138103
2006-05-01,5.04,5.12,0.08,0.0397727272727272,3.12,16.44,0.0248104997494311,0.0143050462634889,0.0246124661895697,-0.0314049135858917,-0.0738868220138103,-0.0091967107496745,2005.0,0.000499001996008,0.999942199179726,inflation_stress,-0.0027576955548957
2006-06-01,5.16,5.15,-0.0099999999999997,0.0418172431595251,3.35,13.08,0.0224601808185558,-0.0018747076260786,-0.012582164052773,8.660428539180607e-05,-0.0027576955548957,-0.047540944769,2005.0,0.000499001996008,0.9999993920786712,inflation_stress,-0.0426691972437161
2006-07-01,4.97,4.99,0.0200000000000004,0.0410466906105695,3.45,14.95,0.0197788259383408,-0.0018782287568856,0.0106567208735466,0.0050729241919583,-0.0426691972437161,0.0325218889852845,2005.0,0.000499001996008,0.9999980979671698,inflation_stress,0.0455218502419224
2006-08-01,4.79,4.74,-0.0499999999999998,0.0392656807751148,3.49,12.31,0.010951996664418,0.002972235273751,0.0189320250816981,0.021051124587992,0.0455218502419224,-0.0147680333828714,2005.0,0.000499001996008,0.9999999519175192,inflation_stress,0.0460212444924359
2006-09-01,4.71,4.64,-0.0700000000000002,0.0201207243460763,3.44,11.98,0.0102807571123637,-0.0100471802789422,-0.0164723938555807,0.024269376195304,0.0460212444924359,-0.043318041519168,2005.0,0.000499001996008,0.9999998569757762,inflation_stress,0.046313348985812
2006-10-01,4.71,4.61,-0.0999999999999996,0.0140632847815169,3.29,11.1,0.005088679815063,0.0069182665873227,0.0187811366168572,0.031021836917226,0.046313348985812,0.0112958011690196,2005.0,0.000499001996008,0.9999956689520284,inflation_stress,0.0333251603217596
2006-11-01,4.62,4.46,-0.1600000000000001,0.0196870267541646,3.2,10.91,0.0073526199050552,0.0365383105395227,0.0294875615854896,0.0163325051223596,0.0333251603217596,0.0652970292350206,2005.0,0.000499001996008,0.999999977985664,inflation_stress,-0.019362807771373
2006-12-01,4.82,4.71,-0.1100000000000003,0.0252397778899544,2.89,11.56,0.0097628448319921,-0.0034048381548408,-0.0032621467330238,0.012536835916847,-0.019362807771373,-0.0164596718802757,2006.0,0.0004987531172069,0.9999999302432616,inflation_stress,0.0199376599581073
2007-01-01,4.94,4.83,-0.1100000000000003,0.0207576517812342,2.72,10.42,0.001917422652902,-0.0131219459860087,0.0027531372544578,0.0139611725245272,0.0199376599581073,0.0254711704567934,2006.0,0.0004987531172069,0.9999999928255696,inflation_stress,-0.0172376824755781
2007-02-01,4.65,4.56,-0.0900000000000007,0.0242026078234702,2.82,15.42,0.0204144313415202,0.0153931257040528,-0.0006620998994069,-0.0220883056643898,-0.0172376824755781,0.0260344657074399,2006.0,0.0004987531172069,0.9992820324247168,inflation_stress,0.0060611219481156
2007-03-01,4.58,4.65,0.0700000000000002,0.0279819729594392,2.85,14.64,0.0197526969234811,0.0096328258408108,0.0023408488629092,0.0099304839152859,0.0060611219481156,-0.0088542635936444,2006.0,0.0004987531172069,0.9999216052146068,inflation_stress,0.0524225060542573
2007-04-01,4.6,4.63,0.0300000000000002,0.0259292476332835,2.74,14.22,0.0322343105830348,0.0214137771514493,0.0159341814217425,0.0423798362376053,0.0524225060542573,0.0255966355538533,2006.0,0.0004987531172069,0.9911106276565466,inflation_stress,0.0318420549525643
2007-05-01,4.92,4.9,-0.0199999999999995,0.0270988574267261,2.46,13.05,0.016575510027977,-0.0140265107845388,-0.0093987071375653,0.0320307237480612,0.0318420549525643,-0.0299776381044253,2006.0,0.0004987531172069,0.9999789727457722,inflation_stress,0.0030655491762089
2007-06-01,4.87,5.03,0.1600000000000001,0.0269276511397422,2.98,16.23,0.0322769499136349,0.006077694367924,0.0141896135964038,-0.017976930819991,0.0030655491762089,-0.0164864060758946,2006.0,0.0004987531172069,0.9731566912989114,inflation_stress,-0.0010553107938241
2007-07-01,4.56,4.78,0.2200000000000006,0.023178905864958,4.19,23.52,0.0338541258413776,0.0105113246826863,0.0103022208857438,-0.0325045008411866,-0.0010553107938241,0.0247038747605543,2006.0,0.0004987531172069,0.999999608515876,credit_stress,0.028909452842373
2007-08-01,4.15,4.54,0.3899999999999997,0.0189744847890087,4.55,23.38,0.0231227240775351,-0.003589353009371,-0.0061785037018816,0.0127815590652788,0.028909452842373,0.0097875188289545,2006.0,0.0004987531172069,0.9999999841979356,credit_stress,0.050198781420149
2007-09-01,3.97,4.59,0.6199999999999997,0.0283382642998026,4.2,18.0,0.0344760748394728,0.0456857617931553,0.0146670608423028,0.035168283637491,0.050198781420149,0.102113614486863,2006.0,0.0004987531172069,0.9576460355959524,inflation_stress,0.068325379546299
2007-10-01,3.94,4.48,0.5400000000000005,0.0361069836552747,4.36,18.53,0.012404930912667,0.0143386600825532,0.0162353029336291,0.0147135577887086,0.068325379546299,0.0656036760002322,2006.0,0.0004987531172069,0.9962747767505984,inflation_stress,-0.0692870537946774
2007-11-01,3.04,3.97,0.9300000000000002,0.0437326732673266,5.75,22.87,0.0416793975247374,0.0110650247526326,-0.0114585342485538,-0.0450427893694161,-0.0692870537946774,-0.0137238189803048,2006.0,0.0004987531172069,0.9999995783906848,crisis,-0.0020028660127786
2007-12-01,3.05,4.04,0.9900000000000002,0.0410881339241753,5.92,22.5,0.0301128360714636,-0.0026006037104165,-0.0344298735114353,-0.0086659298048018,-0.0020028660127786,0.0602181150018477,2007.0,0.0004985044865404,0.9999981206562264,crisis,-0.1241934720962789
2008-01-01,2.17,3.67,1.5,0.0429469565516598,6.95,26.2,0.0277321227769061,0.0173232143582358,0.0005534730574759,-0.0631139096022769,-0.1241934720962789,0.1053365100885331,2007.0,0.0004985044865404,0.9999978044698732,crisis,-0.0536277416348325
2008-02-01,1.65,3.53,1.88,0.0414295927061196,7.67,26.54,0.0272255835209167,0.0219159479340641,0.0003520506989362,-0.035379707842082,-0.0536277416348325,0.0471581495566748,2007.0,0.0004985044865404,0.9995743812107888,crisis,0.0207877750921465
2008-03-01,1.62,3.45,1.83,0.0397490355013443,8.21,25.61,0.0285723067104584,0.0376939604518243,-0.0028703093956595,-0.0059774122413739,0.0207877750921465,-0.0607534429741998,2007.0,0.0004985044865404,0.9988783568073892,crisis,0.0734295047262101
2008-04-01,2.29,3.77,1.48,0.0390376097598881,6.86,20.79,0.0414517429072868,-0.0089869625541477,0.002216402277467,0.0464509396600563,0.0734295047262101,-0.0528621754974845,2007.0,0.0004985044865404,0.9997955513018084,crisis,0.0581695310019833
2008-05-01,2.66,4.06,1.3999999999999997,0.0408841382312399,6.53,17.83,0.0267960048612544,-0.0042988741575021,-0.0027208159073297,0.0106175866526501,0.0581695310019833,0.0237071463059403,2007.0,0.0004985044865404,0.9980864140697564,crisis,-0.1011132843431972
2008-06-01,2.63,3.99,1.3600000000000003,0.0493596610594786,7.35,23.95,0.0706772015707916,0.0128415756057487,0.0056851208387866,-0.0898835504310454,-0.1011132843431972,0.0445850864932641,2007.0,0.0004985044865404,0.9999999999999812,crisis,0.0065432760908153
2008-07-01,2.52,3.99,1.4700000000000002,0.0549751207834183,8.0,22.94,0.0531002686773845,-0.0099522352541434,-0.0050798550077392,-0.0099083004864562,0.0065432760908153,-0.0154300573017199,2007.0,0.0004985044865404,0.9999999999919416,crisis,0.012569723949897
2008-08-01,2.36,3.83,1.4700000000000002,0.0530801716209123,8.36,20.65,0.053673731180969,-0.0610695178443585,-0.0851611699164827,0.0121167974607129,0.012569723949897,-0.0952280543987845,2007.0,0.0004985044865404,0.999999999951032,crisis,-0.166963788447827
2008-09-01,2.0,3.85,1.85,0.0495331987513607,10.96,39.39,0.0566705000271916,-0.0387710085198772,-0.0210849513460303,-0.0951807867743753,-0.166963788447827,0.0490854991689191,2007.0,0.0004985044865404,0.9999999999999982,crisis,-0.1715655252843065
2008-10-01,1.56,4.01,2.45,0.0373105788995651,16.17,59.89,0.0989960996551975,-0.1032766491361375,-0.1033500393444189,-0.1856364864459875,-0.1715655252843065,-0.184737260956656,2007.0,0.0004985044865404,1.0,crisis,-0.1183909984891437
2008-11-01,1.0,2.93,1.93,0.0109991747061668,19.88,55.84,0.0578985424122055,-0.0031471308430188,-0.0457386129774344,-0.0777983464170888,-0.1183909984891437,0.1206649812718094,2007.0,0.0004985044865404,1.0,crisis,0.0216075812890316
