us2y_yield,us10y_yield,yield_spread,us_cpi_yoy,high_yield_spread,vix_level,spx_vol_3m,eurusd_return,gbpusd_return,spx_return,ndx_return,gold_return,ecb_level,ecb_yoy,regime_confidence,regime_label_calm,regime_label_credit_stress,regime_label_crisis,regime_label_inflation_stress
-0.016280916,0.32690245,0.0023305218,-0.004899409,0.040416285,-0.025704753,0.012468932,0.03067875,0.023054255,0.090123266,-0.016955296,-0.07986705,-0.0150406,-0.0034784635,0.02576188,-0.00034476852,0.00011846714,0.0,0.0
0.0051948978,0.34135842,0.005104662,-0.022753742,-0.024668295,-0.008167585,0.013915594,-0.08609666,-0.058041736,-0.041104574,0.0045929058,0.012198254,-0.029196942,-0.0016769799,0.020567523,-0.0028617738,0.00036808636,0.0,0.0
0.017977078,0.3530604,0.0061294865,-0.008292168,-0.012915712,-0.029694855,0.006112472,0.063194096,0.03194956,0.0077013997,-0.017196437,-0.08473793,-0.01615349,-0.0028930192,0.0051354785,-0.0008476605,0.00011846714,0.0,0.0
0.011838024,0.3632386,0.0033696296,0.007625385,-0.004421915,0.0055817785,-0.016956046,0.037660588,0.035051104,0.01903599,-0.006708769,0.019066885,-0.026846362,-0.0035629233,0.03327996,-0.0013045877,-0.00011846714,0.0,0.0
0.006423296,0.31357464,-0.0018230784,-0.010992313,0.009663423,-0.015079488,0.025764726,-0.006655189,0.04796878,0.022087572,-0.012151657,0.015758565,-0.028041676,-0.0025350943,0.007567452,-0.00085547246,-0.00011846714,0.0,0.0
-0.0029835214,0.33011055,0.0032323634,0.049145155,0.018409342,-0.01076651,-0.010086316,0.050571945,0.02051923,0.10635659,-0.0151350675,0.013140861,-0.041886736,-0.0054351967,0.05651441,0.0011549919,-0.00011846714,0.0,0.0
0.00946152,0.2853656,0.013571815,0.058063634,-0.00664151,-0.005448717,-0.015676025,-0.0495537,-0.0049092085,0.0017096718,-0.011914912,0.010468752,-0.03426143,-0.0060756635,-0.136576,-5.6758257e-05,-0.00011846714,0.0,0.0
0.0008451889,0.30133215,0.0074530276,-0.016993595,-0.012813741,0.00538751,0.035842977,-0.07136832,0.043779522,-0.04018254,-0.015564058,0.014660924,-0.03047019,-0.0043276697,0.0062057874,-0.0009957044,-0.00036808636,0.0,0.0
0.00036056174,0.33092043,0.016833624,-0.030290205,-0.025188405,-0.0151035115,0.022082014,-0.08966934,-0.0570631,-0.07456634,-0.0013882444,0.02985808,-0.026188578,-0.0016769799,0.023477072,-0.0009957044,-0.00036808636,0.0,0.0
0.013839433,0.34069633,0.008207362,0.046063744,-0.015254041,-0.026426487,0.0060847495,-0.06976329,-0.03217867,-0.03325061,-0.011203714,-0.080166414,-0.01942376,-0.0006701015,0.0074636675,-0.0009957044,-0.00036808636,0.0,0.0
0.0055041886,0.28350136,-0.0005443372,0.065179855,0.016195586,-0.0048029698,0.011737628,0.033269156,0.049452357,0.05844987,-0.012584239,0.008379984,-0.029425703,-0.0048850356,-0.15213513,-2.4249575e-06,0.00011846714,0.0,0.0
-2.9218505e-05,0.3411582,0.005906479,0.06468271,-0.0024369597,0.0017758557,0.008209779,0.036287,-0.0044279746,0.07741914,-0.016357062,0.01915232,-0.04150168,-0.007691969,0.07629132,0.0011006587,0.00011846714,0.0,0.0
0.00026106488,0.32056144,0.00540937,0.0606042,0.008194791,0.007821047,-0.006418198,-0.08187369,-0.021642393,0.01778458,0.001260621,0.0130615,-0.047273677,-0.0061826953,0.07688527,0.00069806486,-0.00011846714,0.0,0.0
-0.011210902,0.2628993,0.0062505323,0.054591544,0.022047512,-0.0058039012,0.007485171,-0.05357302,-0.025669876,0.112760656,-0.009068528,0.018811204,-0.03048671,-0.004454779,-0.13915622,-5.6758257e-05,-0.00011846714,0.0,0.0
0.016182197,0.2911394,0.0131168505,0.029860953,0.006063388,0.00046810068,0.0050150636,-0.067689925,-0.027438514,0.0020050681,-0.0008923042,-0.0759508,-0.021081347,-0.0045960275,-0.14873794,-0.00045935213,-0.00011846714,0.0,0.0
0.00010216318,0.32594958,0.0141035365,0.039569642,-0.011554238,0.0067944317,0.0034327663,-0.07089678,0.036148872,-0.07742047,-0.0026641442,0.021353383,-0.026347933,-0.0027478768,0.022904059,-0.0009957044,0.00036808636,0.0,0.0
-0.0134923905,0.2963079,-0.0011355906,0.06412568,0.033543855,-0.0020699692,0.0005302851,0.044786084,0.028451782,0.22551957,-0.017254967,0.022467097,-0.030748468,-0.0064018574,-0.004507588,-0.0008476605,0.00011846714,0.0,0.0
0.002205533,0.30397305,0.0050581023,0.027030759,-0.006599172,0.0025938547,0.0063634217,-0.07192635,0.08837309,0.01764942,-0.011105082,0.013477639,-0.0328811,-0.0054415525,0.0006356063,-0.0008476605,0.00011846714,0.0,0.0
0.0149610555,0.36885118,0.007204562,0.04587831,0.00078213384,0.0012181978,0.013698177,0.04049812,0.034629125,0.013285309,-0.0022887962,-0.0065756855,-0.030284872,-0.0048178253,0.04339892,0.00069806486,-0.00011846714,0.0,0.0
0.015040106,0.33292648,0.006689555,0.042475894,-0.0004961295,0.011041423,0.009161601,0.046736732,0.026538657,0.017533202,-0.0028138475,0.0037775198,-0.016715735,-0.0031666232,-0.14488295,-0.0002637923,-0.00011846714,0.0,0.0
0.006038176,0.32989195,0.0064508836,0.039941262,0.010166922,-0.0022318584,-0.0063065183,-0.047134615,0.03169565,0.012560756,0.007630467,-0.005077291,-0.017884264,-0.002256282,0.065846376,0.00087727746,-0.00011846714,0.0,0.0
0.006605852,0.30766565,0.0064071254,0.01726401,-0.024180373,-0.0067346753,-0.0020702141,-0.09162789,-0.058780152,0.016401766,0.0069130203,-0.0023703312,-0.0282155,-0.0042314962,-0.124505594,-0.002452788,0.00011846714,0.0,0.0
-0.034175813,0.27753755,-0.0016145293,0.022488378,0.030318858,-0.0028861559,-0.013131965,-0.044605065,0.057545807,0.14342918,-0.0104430355,0.035437446,-0.04366004,-0.0050934535,0.09494394,0.0011006587,-0.00011846714,0.0,0.0
-0.002573573,0.3393053,-0.00028207095,0.019580904,-0.01592793,-0.016694482,-0.0001811692,-0.08682358,-0.06589604,-0.03384716,-0.0022937378,0.005854991,-0.029675972,-0.0026754618,0.016049556,-0.0009957044,0.00036808636,0.0,0.0
