date,spx_return,ndx_return,gold_return,eurusd_return,gbpusd_return,spx_vol_3m,ndx_vol_3m,vix_level,us2y_yield,us10y_yield,yield_spread,us_cpi_yoy,high_yield_spread,vix_spike,spx_drawdown,ndx_drawdown,ecb_level,ecb_yoy,dxy_return,qqq_return,btc_return
2011-11-01,-0.005071483436680982,-0.02787553108305098,0.022850472125907476,-0.02954435461059438,-0.022983727451138202,0.08906435335176284,0.07876213570242327,27.8,0.25,2.08,1.83,0.03451432214581729,7.79,0,-0.19518775252036302,-0.47810743455878346,2010.0,0.0004977600796416404,0.02872870006889804,-0.027288913791597924,-0.1731163486024547
2011-12-01,0.008496553494146353,-0.007596750310422261,-0.11147416307098311,-0.03636764417087483,-0.009665003068203788,0.058472879603164996,0.06774099749038325,23.4,0.25,1.89,1.64,0.03062066838419386,7.23,0,-0.18832048948611715,-0.48205710075855424,2011.0,0.0004975124378110429,0.022452996800669534,-0.006160359336119627,0.41528270653207305
2012-01-01,0.04265999901113749,0.08016461114403595,0.10452747982715366,0.009980888997679915,0.01386028000704754,0.024595145362500268,0.05742525264262144,19.44,0.22,1.83,1.61,0.030087663379855023,6.61,0,-0.15294504898733688,-0.438826787695778,2011.0,0.0004975124378110429,-0.011163482590843588,0.08082748222554341,0.2760629832168505
2012-02-01,0.039787331386417914,0.06096897792456243,-0.024331902166785338,0.017718340409624736,0.009846699516843582,0.018949520706243013,0.046137092791357914,18.43,0.3,1.98,1.68,0.028981784423473878,5.98,0,-0.1185635544540397,-0.4035481054335765,2011.0,0.0004975124378110429,-0.006961554789435097,0.06213001988856686,-0.12033615093035002
2012-03-01,0.030851535762571346,0.049158616989405754,-0.01616683297529374,0.0013500339558904463,0.005699448616459596,0.006158198695045989,0.01564890109896974,15.5,0.33,2.23,1.9,0.025828752813320977,5.99,0,-0.09094605584169156,-0.3734947155876521,2011.0,0.0004975124378110429,0.002537067751789651,0.049295002299286766,-0.012318786677318757
2012-04-01,-0.007525744796048625,-0.011531534348476638,-0.0027491178725576808,-0.007523357784669298,0.01395414747465011,0.025136929288578788,0.03889966446874716,17.15,0.27,1.95,1.68,0.022731633741348567,6.04,0,-0.09776168531928901,-0.38067778727739077,2011.0,0.0004975124378110429,-0.001775290709282949,-0.011764037249485071,0.019768372928132785
2012-05-01,-0.06469925017046924,-0.07579433083072074,-0.06519189717069188,-0.06892814447310971,-0.052795217487919,0.048082529870171614,0.062484985730003544,24.06,0.27,1.59,1.32,0.01737942937466075,6.96,0,-0.15428752146019709,-0.425884070361814,2011.0,0.0004975124378110429,0.05253633356527655,-0.07300204278221989,0.04594708200442656
2012-06-01,0.038792661243837456,0.03534981797389718,0.024243419526059688,0.024297870549166243,0.019227033476326292,0.051840750031645566,0.05579813321368938,17.08,0.33,1.67,1.3399999999999999,0.01653870448297634,6.44,0,-0.12083543094657219,-0.4052262019536864,2011.0,0.0004975124378110429,-0.016880592338195766,0.035573886133180806,0.2518833457199421
2012-07-01,0.012518948972710817,0.010197397356037441,0.010669574875380233,-0.029326675047433078,-0.0018487239511449731,0.05379518869999507,0.0582812768577038,18.93,0.23,1.51,1.28,0.014175114798464783,6.16,0,-0.10976003304547637,-0.3991300274680297,2011.0,0.0004975124378110429,0.012051979321196185,0.009925627562980212,0.32009142004734886
2012-08-01,0.019570602004381984,0.047918866083060084,0.04691560324743217,0.022115010079766274,0.012176710575255285,0.013598537472771092,0.01920735291597016,17.47,0.22,1.57,1.35,0.016859349154821235,5.98,0,-0.09216589861751164,-0.36963600312880873,2011.0,0.0004975124378110429,-0.01696299621586872,0.050552502379569576,0.16935962446688224
2012-09-01,0.02394705705020073,0.009674431949291339,0.046004773861012656,0.022414528108450713,0.01780573702943513,0.0057660041547842305,0.021931026112004,15.73,0.23,1.65,1.42,0.019497168982819613,5.74,0,-0.07016354929068404,-0.3635079948338275,2011.0,0.0004975124378110429,-0.016254437386186375,0.008844764334808115,0.132916468513464
2012-10-01,-0.019987836058499683,-0.05555566347766554,-0.029529840063916298,0.007669996927178789,-0.0011772361098124266,0.024201577817764428,0.05232045546347908,18.6,0.3,1.72,1.42,0.021556780595369363,5.63,0,-0.08856445804128105,-0.3979044258090335,2011.0,0.0004975124378110429,-0.0002502723944573103,-0.0542375273890088,-0.12266943677899368
2012-11-01,0.0028426587376603443,0.011251010567606457,-0.003092506781606595,0.0021586624680378854,-0.007654765572556998,0.021973097009922435,0.03812388281760022,15.87,0.25,1.62,1.37,0.017960197033926262,5.65,0,-0.08596987181969565,-0.3910919906135739,2011.0,0.0004975124378110429,0.002873786664149114,0.013002620467973703,0.13405935756155166
